EpRewMean,loss_pol_surr,EpLenMean,EpisodesSoFar,loss_vf_loss,loss_kl,ev_tdlam_before,TimestepsSoFar,TimeElapsed,EpThisIter,loss_pol_entpen,loss_ent
nan,-0.0039290767,nan,0,43708414000000.0,0.0050105224,-2.384185791015625e-06,0,10.693942546844482,0,0.0,8.522976
-253741091.5048173,-0.0037446523,2049.0,30,18932893000000.0,0.004377663,2.980232238769531e-07,61470,21.198041677474976,30,0.0,8.514164
-200568597.08941975,-0.004476421,2045.3934426229507,61,59728953000000.0,0.0045140213,-7.271766662597656e-06,124769,31.83096218109131,31,0.0,8.503661
-274557961.2976404,-0.0032899657,2046.5824175824175,91,17093962000000.0,0.00455021,1.2516975402832031e-06,186239,42.46925210952759,30,0.0,8.5037985
-232893128.91853738,-0.003431823,2046.8,121,30896216000000.0,0.0039511123,3.814697265625e-06,247709,53.2505624294281,30,0.0,8.501937
-232545727.9362159,-0.0036762983,2040.69,152,9141196000000.0,0.0043892623,-1.1920928955078125e-07,310397,64.11654448509216,31,0.0,8.501466
-160908957.45827323,-0.0034530459,2031.55,183,15673836000000.0,0.0043635136,2.562999725341797e-06,373002,74.89225816726685,31,0.0,8.488102
-162424975.31472114,-0.0036270309,2031.55,213,16664229000000.0,0.004999081,-1.9073486328125e-06,434472,85.8687834739685,30,0.0,8.493941
-144218511.0708423,-0.0039420803,2011.37,244,16897069000000.0,0.004342452,1.1146068572998047e-05,495973,96.77736306190491,31,0.0,8.49786
-170348141.3978715,-0.0033115023,2011.58,275,28070233000000.0,0.0040592006,2.9206275939941406e-06,557768,107.74738883972168,31,0.0,8.490935
-202025161.3910292,-0.0034870252,2011.58,305,15276628000000.0,0.004109117,1.3709068298339844e-06,619238,118.8898606300354,30,0.0,8.500276
-189031555.28977406,-0.0033915166,2031.76,335,11029732000000.0,0.0043200324,2.562999725341797e-06,680708,129.76651549339294,30,0.0,8.503845
-179163510.4576382,-0.0042330683,2029.65,366,11369292000000.0,0.0045095454,-5.7220458984375e-06,742292,140.83300805091858,31,0.0,8.495772
-133896387.96070166,-0.0035811218,2029.65,396,3400536700000.0,0.003518708,9.834766387939453e-06,803762,152.04443788528442,30,0.0,8.493534
-93935606.14124016,-0.004081358,2029.65,426,860814000000.0,0.0044928654,9.489059448242188e-05,865232,163.09439373016357,30,0.0,8.482619
-73816127.28551649,-0.003606574,2049.0,456,4682052000000.0,0.00499478,-3.62396240234375e-05,926702,174.20052790641785,30,0.0,8.465972
-35876233.01883017,-0.0037851883,2029.33,487,2586700400000.0,0.0040603187,4.655122756958008e-05,988254,185.24177074432373,31,0.0,8.452102
-35656593.33766462,-0.0039488883,2029.33,517,240428240000.0,0.0035946418,-3.170967102050781e-05,1049724,196.27162909507751,30,0.0,8.432446
-29492817.498016037,-0.0030380348,2029.33,547,404766400000.0,0.003316748,1.7404556274414062e-05,1111194,207.35982036590576,30,0.0,8.420658
-23445678.011316527,-0.0037946333,2012.06,579,9149469000.0,0.00475855,1.1980533599853516e-05,1173068,218.35016703605652,32,0.0,8.408982
-17140053.519367576,-0.0035157655,2012.06,609,3094167200000.0,0.0048691602,4.750490188598633e-05,1234538,229.57787680625916,30,0.0,8.408189
-18409378.88650148,-0.0039545493,2012.06,639,449264030000.0,0.0039536436,8.791685104370117e-05,1296008,240.8180079460144,30,0.0,8.39038
-18532772.6306794,-0.004065377,2012.06,669,15376733000.0,0.0050950367,2.1457672119140625e-06,1357478,251.99888157844543,30,0.0,8.375355
-18485211.62138681,-0.0031798605,2049.0,699,9736913000.0,0.0037725717,-6.4373016357421875e-06,1418948,263.299756526947,30,0.0,8.36609
-16477454.437413631,-0.003782207,2049.0,729,366883000000.0,0.0043393555,-0.00010275840759277344,1480418,274.51191759109497,30,0.0,8.363694
-7760218.02380541,-0.0037268177,2049.0,759,42488850000.0,0.0042715836,-5.6743621826171875e-05,1541888,285.7679970264435,30,0.0,8.3638115
-8272638.154590199,-0.0040029264,2049.0,789,105342580000.0,0.004107837,1.919269561767578e-05,1603358,296.99305510520935,30,0.0,8.350708
-8865268.090847101,-0.0040309657,2049.0,819,9984109000.0,0.003861543,-3.123283386230469e-05,1664828,308.108195066452,30,0.0,8.337189
-8799430.711789291,-0.003670558,2049.0,849,8371770000.0,0.00448653,3.737211227416992e-05,1726298,319.2317419052124,30,0.0,8.343975
-6742947.595957913,-0.0036492322,2049.0,879,175278330000.0,0.0047734673,-8.976459503173828e-05,1787768,330.40790939331055,30,0.0,8.339817
-7071628.1234881235,-0.0035556674,2049.0,909,6849865000.0,0.0041835,1.7642974853515625e-05,1849238,341.66290044784546,30,0.0,8.338985
-6211622.532046635,-0.0037417477,2049.0,939,7294288000.0,0.0044003865,4.947185516357422e-06,1910708,353.23258447647095,30,0.0,8.341353
-5967350.164907057,-0.0043442464,2033.59,970,1137846900000.0,0.0045478716,3.635883331298828e-06,1972686,364.52004957199097,31,0.0,8.332793
-7486966.637181056,-0.0036791256,2033.59,1000,961689940000.0,0.0038445774,1.3828277587890625e-05,2034156,375.816082239151,30,0.0,8.328503
-10647537.973843407,-0.0034517178,2033.59,1030,5584388000.0,0.0049372595,-2.0265579223632812e-06,2095626,387.1643991470337,30,0.0,8.324037
-10130559.575646888,-0.0034950152,2049.0,1060,5739034000.0,0.0043093693,1.3709068298339844e-06,2157096,398.8844611644745,30,0.0,8.316926
-7642102.682296552,-0.004012261,2049.0,1090,3535124000000.0,0.004309687,-0.00011587142944335938,2218566,410.15299367904663,30,0.0,8.309646
-14594623.783848984,-0.0034705517,2049.0,1120,201610020000.0,0.0037073721,8.404254913330078e-06,2280036,421.46886348724365,30,0.0,8.306672
-11911277.907183804,-0.0038447187,2049.0,1150,6812882400.0,0.004577132,0.0018546581268310547,2341506,432.71391916275024,30,0.0,8.308318
-12017446.860492492,-0.0040746676,2049.0,1180,3746179300.0,0.0044832616,-5.602836608886719e-06,2402976,444.1610884666443,30,0.0,8.306853
-3930915.662868,-0.0035336912,2049.0,1210,7099005400.0,0.0040276996,-1.0728836059570312e-06,2464446,455.5138099193573,30,0.0,8.30136
-6518744.072967681,-0.0037425214,2049.0,1240,1031470250000.0,0.0040957076,4.172325134277344e-07,2525916,466.94095182418823,30,0.0,8.297227
-6526930.294185829,-0.0034205467,2028.05,1272,8704602000.0,0.004391774,-8.225440979003906e-06,2589389,478.66593050956726,32,0.0,8.300935
-6666308.930976499,-0.0035346686,2028.05,1302,5702393300.0,0.0043447674,6.556510925292969e-07,2650859,490.04278588294983,30,0.0,8.294956
-3947947.4388851714,-0.0038444917,2028.05,1332,5247580000.0,0.0047536325,5.602836608886719e-06,2712329,501.5694010257721,30,0.0,8.28699
-4077745.1409827196,-0.0034795643,2046.15,1362,5399256000.0,0.0047447253,-5.0067901611328125e-06,2773799,513.2541372776031,30,0.0,8.275303
-3901211.7813810837,-0.0031732402,2049.0,1392,6771947500.0,0.0044665104,-6.186962127685547e-05,2835269,524.7950782775879,30,0.0,8.263228
-4077058.332728459,-0.0036173575,2049.0,1422,6146646500.0,0.0043991962,-1.3828277587890625e-05,2896739,536.3897969722748,30,0.0,8.249131
