EpisodesSoFar,TimeElapsed,loss_pol_surr,loss_ent,EpLenMean,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpRewMean,ev_tdlam_before,EpThisIter
1519,1997.202579498291,-0.0076402565,8.335324,1936.49,0.0074091405,0.0,3059389,221240260000.0,-1748432.9937253648,2.384185791015625e-07,41
1566,2050.103832960129,-0.007389004,8.339558,1944.1,0.006326868,0.0,3147161,830101400.0,-3093827.399532442,-0.007082343101501465,47
1610,2102.907989501953,-0.0077406354,8.34094,1845.73,0.0069168434,0.0,3226745,355879680000.0,-2529688.6917253025,-0.00014734268188476562,44
1661,2155.89496922493,-0.0071770474,8.336212,1784.07,0.006625852,0.0,3316072,45511090000.0,-3906928.7783829034,1.0132789611816406e-06,51
1707,2209.0709080696106,-0.007266642,8.318773,1765.01,0.0063782884,0.0,3398722,46863127000.0,-4290149.34126566,0.001530289649963379,46
1755,2262.8347017765045,-0.008296662,8.317181,1765.69,0.006383431,0.0,3480758,43042787000.0,-1421672.2298648846,5.364418029785156e-06,48
1799,2315.9080471992493,-0.0079724295,8.312592,1775.22,0.00607862,0.0,3563732,7849313300.0,-2169573.5087220687,-2.384185791015625e-07,44
1845,2368.8766751289368,-0.007832502,8.299349,1822.01,0.0068557346,0.0,3645881,190454600000.0,-1556015.4500391937,-1.1920928955078125e-07,46
1894,2422.0382924079895,-0.008492074,8.295593,1766.2,0.008175014,0.0,3731601,1913069800.0,-2408311.18318252,-0.0014678239822387695,49
1939,2475.63392829895,-0.00878364,8.295216,1726.55,0.006498425,0.0,3809856,76359820000.0,-2007576.207483572,-1.4901161193847656e-05,45
1990,2528.7140820026398,-0.0086082695,8.292524,1699.06,0.007960857,0.0,3894500,50246620000.0,-1178262.3285707373,1.1324882507324219e-06,51
2039,2583.4680495262146,-0.008079248,8.285841,1633.54,0.008588913,0.0,3973210,22384957000.0,-1966413.0432934556,-0.007476925849914551,49
2091,2636.2517383098602,-0.007344273,8.279711,1610.07,0.007611288,0.0,4055776,138430970000.0,-1326742.694333883,-1.2159347534179688e-05,52
2141,2688.9163479804993,-0.0101862345,8.2727165,1620.48,0.007784158,0.0,4137823,1428236800000.0,-1946411.0138749906,-8.344650268554688e-06,50
2186,2742.019096136093,-0.0083670635,8.263294,1737.87,0.007895756,0.0,4219318,52751440000.0,-9484059.719925852,-7.748603820800781e-06,45
2234,2795.0401980876923,-0.008370877,8.258579,1743.98,0.0069209575,0.0,4300873,86046070000.0,-9272511.500422569,5.4836273193359375e-05,48
2283,2848.3502173423767,-0.009612931,8.249386,1661.94,0.007892515,0.0,4380743,962859960000.0,-2861682.358931641,-1.1920928955078125e-07,49
2331,2901.464411497116,-0.0064072222,8.247303,1704.31,0.009927462,0.0,4465157,227112220000.0,-6315422.9935204955,1.1920928955078125e-07,48
2379,2954.606725692749,-0.008250759,8.248396,1741.87,0.00591152,0.0,4548490,46559780000.0,-7604036.964027363,-0.0001652240753173828,48
2431,3007.9593966007233,-0.008665806,8.244724,1678.26,0.007605986,0.0,4632983,40479300000.0,-3662868.443960859,1.4603137969970703e-05,52
2488,3061.689601659775,-0.009174657,8.242493,1528.51,0.011603201,0.0,4719782,933300600.0,-1670640.409249608,-1.2516975402832031e-05,57
