EpLenMean,loss_pol_surr,EpRewMean,TimeElapsed,ev_tdlam_before,loss_kl,loss_vf_loss,EpThisIter,loss_pol_entpen,TimestepsSoFar,loss_ent,EpisodesSoFar
1918.47,-0.007934774,-1724430.9168700716,1662.3365383148193,-0.0003064870834350586,0.0068046423,784270660.0,33,0.0,2295101,8.30902,1147
1890.37,-0.0078184595,-1082138.6762902974,1704.2990808486938,-0.013879060745239258,0.008991913,32286222000.0,34,0.0,2358080,8.311024,1181
1884.1,-0.007959972,-1485238.023068291,1746.3323533535004,-4.267692565917969e-05,0.0068512834,878057750000.0,33,0.0,2420342,8.309162,1214
1878.61,-0.0076900353,-5414900.859510617,1788.7930500507355,1.6093254089355469e-06,0.007750959,8201440000.0,33,0.0,2482962,8.314285,1247
1795.85,-0.007864415,-6232783.375907548,1831.2290663719177,2.7954578399658203e-05,0.0054356474,59181584000.0,39,0.0,2545734,8.313813,1286
1717.56,-0.007482223,-6279989.587251909,1877.8325657844543,-0.0005756616592407227,0.008234842,1130377100.0,37,0.0,2608584,8.304485,1323
1692.81,-0.008375397,-1891389.0468420894,1953.8144690990448,-2.384185791015625e-06,0.00744468,176291430000.0,35,0.0,2670628,8.30048,1358
1751.24,-0.008749797,-2617236.5154843684,1997.0303175449371,0.0,0.0066580307,1007699760000.0,33,0.0,2731103,8.302535,1391
1732.92,-0.008136061,-5613372.723631157,2039.183708190918,-2.384185791015625e-07,0.0068751127,48551230000.0,38,0.0,2792988,8.303941,1429
1707.15,-0.008211905,-5896943.71703792,2081.7742083072662,-2.5272369384765625e-05,0.007821334,19198607000.0,36,0.0,2855340,8.308365,1465
1752.94,-0.009750484,-2017136.311054139,2161.8686199188232,-1.1920928955078125e-07,0.006495872,3331918300.0,33,0.0,2916466,8.307911,1498
1709.19,-0.008665887,-2086561.463669359,2208.650619983673,-1.537799835205078e-05,0.009445146,163918940000.0,39,0.0,2978803,8.305816,1537
1666.8,-0.007842814,-3152156.6346980273,2251.503247976303,-7.43865966796875e-05,0.007019995,13529699000.0,37,0.0,3039459,8.314908,1574
1674.93,-0.009493294,-3236036.365516182,2294.0692825317383,-2.968311309814453e-05,0.0067695477,161094420000.0,36,0.0,3102065,8.316939,1610
1733.08,-0.008362139,-5430977.238515144,2336.893476009369,-5.960464477539062e-07,0.008587087,37407730000.0,37,0.0,3163337,8.312163,1647
1670.54,-0.007329521,-4136674.777827205,2417.630008459091,-0.0001327991485595703,0.006179722,695808900000.0,37,0.0,3223557,8.304459,1684
1711.03,-0.0076621016,-4836637.9728503935,2459.929797410965,-0.00011432170867919922,0.006485489,57709937000.0,34,0.0,3285489,8.296706,1718
1698.4,-0.008083089,-3853088.02741169,2502.6571745872498,-0.0014574527740478516,0.0066863084,149621420000.0,42,0.0,3352475,8.294223,1760
1716.15,-0.009083275,-4638253.768542744,2546.0366632938385,-2.086162567138672e-05,0.008149965,14104230000.0,35,0.0,3414244,8.291337,1795
1663.32,-0.00869325,-2119073.857408336,2627.050510406494,-7.152557373046875e-07,0.007418104,200969980000.0,37,0.0,3474591,8.290267,1832
1674.67,-0.008908148,-4793279.919133179,2669.767865896225,-1.537799835205078e-05,0.0065064174,162227040000.0,35,0.0,3533062,8.302341,1867
1554.54,-0.00979751,-3899176.5727090044,2711.9152026176453,0.00023442506790161133,0.0073714647,245789920000.0,41,0.0,3594167,8.304371,1908
1470.73,-0.00974205,-9823238.440020896,2754.899888277054,-2.8967857360839844e-05,0.00894168,1699257900000.0,48,0.0,3660151,8.31081,1956
1457.63,-0.008685378,-11586228.39398343,2797.2724986076355,-1.0728836059570312e-06,0.0067049386,143525200000.0,43,0.0,3727355,8.319775,1999
1525.8,-0.009709707,-3174995.4323030845,2872.5623404979706,-2.5033950805664062e-06,0.009061877,1271948800000.0,37,0.0,3784641,8.307878,2036
1555.75,-0.010404978,-6991032.141870792,2915.6817514896393,0.0,0.007761532,177064150000.0,39,0.0,3845920,8.303513,2075
1576.7,-0.008056339,-7098578.324281947,2957.67546916008,-7.3909759521484375e-06,0.0072679715,153895570000.0,39,0.0,3907083,8.297975,2114
1459.33,-0.008523188,-3463171.133751787,2998.817177772522,1.049041748046875e-05,0.0062988084,75061780000.0,47,0.0,3970201,8.301102,2161
1399.31,-0.008424634,-4781211.071350489,3040.389608860016,-5.4836273193359375e-06,0.008144219,90134020000.0,42,0.0,4030460,8.30106,2203
1516.49,-0.009531653,-3374831.0667183115,3081.464037179947,-1.7881393432617188e-06,0.0072181216,2177733400.0,36,0.0,4088582,8.304005,2239
1408.24,-0.009420365,-1830396.2183496433,3123.613244533539,-3.2186508178710938e-06,0.009464238,179408980000.0,46,0.0,4150442,8.308639,2285
1387.41,-0.009030456,-1725083.216316549,3167.585485458374,-0.049988389015197754,0.008591407,88939580000.0,41,0.0,4205319,8.305157,2326
1398.09,-0.008647273,-2334202.2555465144,3215.493332862854,-4.6133995056152344e-05,0.009070228,1562919200000.0,42,0.0,4266581,8.305302,2368
1318.84,-0.008485227,-8501413.861702513,3257.495790719986,4.279613494873047e-05,0.0084585,6542484000.0,54,0.0,4331372,8.31065,2422
1234.63,-0.010153723,-7792474.719627976,3298.9982719421387,1.1920928955078125e-07,0.008316127,260430480000.0,44,0.0,4385946,8.310162,2466
1282.78,-0.010437113,-3263380.084779154,3341.401801586151,-1.4066696166992188e-05,0.0062217745,649517660000.0,49,0.0,4453054,8.322067,2515
1327.35,-0.010022247,-12552786.826934727,3387.5566987991333,-3.4570693969726562e-06,0.008455813,2964147000000.0,47,0.0,4516993,8.330964,2562
1355.64,-0.009410556,-16738547.770454235,3432.1127479076385,-0.005327582359313965,0.008725682,96008280000.0,49,0.0,4582873,8.338241,2611
1252.59,-0.009106604,-10852417.54510691,3474.6153934001923,1.7881393432617188e-07,0.008688722,893236740000.0,47,0.0,4634056,8.337223,2658
1226.76,-0.010556804,-5647001.166936495,3516.841900587082,0.0,0.008218125,82267415000.0,48,0.0,4699765,8.346253,2706
1319.37,-0.008318837,-3882153.7856661705,3559.4780225753784,-6.449222564697266e-05,0.008426148,197950280000.0,50,0.0,4765204,8.359328,2756
1312.09,-0.0106280185,-2959470.4316797135,3601.6570904254913,3.898143768310547e-05,0.009363467,109412740000.0,48,0.0,4828640,8.362504,2804
1240.92,-0.009509726,-3287477.4298888715,3644.484581708908,0.0,0.0075662225,476724560000.0,57,0.0,4894649,8.359775,2861
1180.17,-0.0096394885,-4725322.377212878,3688.641411781311,-0.0010319948196411133,0.007892369,228768190000.0,48,0.0,4954064,8.366421,2909
1267.58,-0.010231498,-3685517.2215213077,3733.1819684505463,1.7285346984863281e-06,0.008537535,1345714300000.0,43,0.0,5010396,8.369628,2952
1318.19,-0.010113678,-11963522.170474272,3774.294233083725,-1.1920928955078125e-07,0.009297528,669632400000.0,47,0.0,5071569,8.36403,2999
1277.25,-0.01115581,-12070082.367185296,3815.8181846141815,-3.5762786865234375e-07,0.007105884,907294600000.0,46,0.0,5132367,8.367644,3045
1395.83,-0.006746006,-11024317.124674488,3856.959128856659,-0.0010483264923095703,0.011880403,296279970000.0,42,0.0,5193304,8.3713045,3087
1383.85,-0.009149206,-9138955.01172539,3898.840577840805,-2.5033950805664062e-05,0.0083757145,53951080000.0,43,0.0,5252921,8.369675,3130
1449.82,-0.009881596,-3905686.389333347,3940.2030713558197,-1.1920928955078125e-07,0.0115550915,18239910000.0,41,0.0,5314980,8.366258,3171
1334.79,-0.0086929975,-1712481.3490375397,3981.9388954639435,-7.867813110351562e-06,0.0069482117,1032802100000.0,55,0.0,5383483,8.358841,3226
1066.98,-0.0094642425,-6564496.641863647,4024.6632504463196,-5.0067901611328125e-06,0.005848658,779902600000.0,65,0.0,5448893,8.358504,3291
1104.55,-0.009721474,-7378068.90014305,4069.41645359993,-4.601478576660156e-05,0.009086273,390487740000.0,45,0.0,5502920,8.35339,3336
1054.53,-0.009036661,-4469416.938728121,4112.5737981796265,-0.00012040138244628906,0.0075983275,57872945000.0,62,0.0,5565738,8.350387,3398
1143.23,-0.009569867,-4703700.347054487,4156.237752437592,0.0,0.007709672,760799400000.0,41,0.0,5623390,8.339275,3439
1324.54,-0.009250059,-6687544.643520427,4199.197245121002,1.8477439880371094e-06,0.0108473515,251609420000.0,50,0.0,5686788,8.340984,3489
1059.24,-0.009295065,-6452048.460036431,4241.994177341461,-8.463859558105469e-06,0.007814299,628401000000.0,72,0.0,5756791,8.350071,3561
1036.53,-0.0091614975,-3592759.4570319657,4284.697026014328,1.1920928955078125e-07,0.007722093,49709100000.0,47,0.0,5810919,8.351559,3608
1209.5,-0.010711189,-3928944.2949512093,4327.838583707809,-1.1920928955078125e-07,0.00867244,116721800000.0,45,0.0,5869487,8.345399,3653
1193.9,-0.010924318,-1503359.9159708133,4371.228492975235,1.7881393432617188e-07,0.0069878832,944366160000.0,55,0.0,5930309,8.348316,3708
1172.82,-0.00985968,-4821608.214872032,4415.3951959609985,0.0,0.009641155,2099605300000.0,55,0.0,5993969,8.347106,3763
1132.37,-0.009529202,-10421582.057827909,4458.504578828812,-0.0031946897506713867,0.008131255,629169060000.0,58,0.0,6057635,8.340042,3821
1067.61,-0.009115213,-9177417.576274639,4501.757066249847,-9.5367431640625e-07,0.008102338,244029750000.0,57,0.0,6117597,8.34161,3878
1023.01,-0.00965012,-4335595.405100618,4544.872621536255,-7.510185241699219e-06,0.0075339884,171831260000.0,56,0.0,6174533,8.339705,3934
1038.91,-0.010352846,-4322444.638208372,4587.915456295013,-1.430511474609375e-06,0.006423017,493554600000.0,60,0.0,6242066,8.345582,3994
1164.36,-0.010760856,-7313004.140307235,4630.878653287888,1.1920928955078125e-07,0.008475087,1033435200000.0,52,0.0,6304985,8.3479,4046
1279.05,-0.008434373,-12296167.752583766,4705.955162763596,0.0,0.008209232,629255050000.0,44,0.0,6364937,8.354687,4090
1320.94,-0.009176223,-8735144.625166027,4749.800798892975,-4.76837158203125e-07,0.009476298,125397400000.0,46,0.0,6427834,8.354735,4136
1036.87,-0.0090072295,-4429005.138311279,4793.078849554062,-1.3113021850585938e-06,0.008347633,199598130000.0,71,0.0,6491010,8.349148,4207
924.55,-0.009495347,-2792748.2685719924,4836.7000596523285,0.0,0.0071481816,106282746000.0,62,0.0,6553896,8.3385315,4269
1104.74,-0.009222313,-3582632.4893171494,4879.587219953537,-2.682209014892578e-05,0.0076618623,147160650000.0,48,0.0,6609615,8.327885,4317
1262.19,-0.00943698,-3184090.9290158707,4923.350235700607,-1.1920928955078125e-07,0.008866483,30624276000.0,48,0.0,6674960,8.331051,4365
1248.8,-0.009143715,-1897849.896236912,4966.082632303238,-5.4836273193359375e-06,0.008816886,161961720000.0,51,0.0,6732446,8.330372,4416
1124.97,-0.009577068,-3273989.8054549736,5009.622404098511,5.960464477539063e-08,0.008221076,286373770000.0,57,0.0,6795877,8.325211,4473
1065.49,-0.010034435,-2517845.9394659763,5052.389879226685,-7.009506225585938e-05,0.006362839,115532000000.0,55,0.0,6852850,8.327727,4528
1102.54,-0.009150143,-2870195.2648942284,5095.69241642952,-2.8371810913085938e-05,0.008799201,72184545000.0,53,0.0,6915895,8.326217,4581
1113.82,-0.007671803,-1988256.8148213415,5138.927597999573,1.1920928955078125e-07,0.012260443,6499794400.0,63,0.0,6983201,8.3261385,4644
1092.9,-0.009904121,-1092810.6171806245,5214.6445989608765,0.0,0.0085201245,9412137000.0,46,0.0,7037633,8.322251,4690
1173.56,-0.0092480965,-1455157.6386862784,5257.2678236961365,-4.1484832763671875e-05,0.008970854,68283930000.0,54,0.0,7100557,8.333332,4744
1002.53,-0.01009324,-886390.4118761142,5300.318405389786,0.0,0.005864295,47378940000.0,68,0.0,7163164,8.326092,4812
1050.79,-0.010717278,-912920.4877128047,5343.543756484985,1.1920928955078125e-07,0.006269959,26762918000.0,49,0.0,7218509,8.328433,4861
1109.67,-0.010084671,-1111714.4313298974,5386.725943803787,-3.5762786865234375e-07,0.0068052886,1103707100000.0,58,0.0,7283110,8.329743,4919
1071.98,-0.009119577,-4299230.246341667,5461.7635045051575,-2.384185791015625e-06,0.00723959,352347360000.0,58,0.0,7344517,8.33273,4977
952.45,-0.008515977,-4760622.773888308,5504.602651357651,2.205371856689453e-06,0.0090884995,330606380000.0,67,0.0,7407939,8.335033,5044
892.19,-0.010524119,-3755393.1998802214,5547.255842208862,3.7550926208496094e-06,0.00619242,127481150000.0,63,0.0,7466343,8.346645,5107
1084.74,-0.009801825,-1155392.2973388704,5590.182828903198,0.0,0.008272227,110189070000.0,54,0.0,7535561,8.358993,5161
