TimeElapsed,loss_ent,loss_kl,TimestepsSoFar,loss_vf_loss,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_pol_surr,EpRewMean,EpLenMean,loss_pol_entpen
26.442411422729492,8.518583,0.0048398436,0,79516330000000.0,8.344650268554688e-07,0,0,-0.004451281,nan,nan,0.0
54.04144859313965,8.5061455,0.0049712756,40980,23512450000000.0,-0.00013387203216552734,20,20,-0.004933,-409308991.36400485,2049.0,0.0
81.54932904243469,8.507015,0.003916875,81960,14276260000000.0,2.980232238769531e-07,20,40,-0.004428497,-273157503.25025946,2049.0,0.0
108.65921449661255,8.508472,0.0050357967,122940,8311952000000.0,-1.1205673217773438e-05,20,60,-0.0047961613,-221880627.45410758,2049.0,0.0
136.05541133880615,8.498264,0.0047407104,163920,8159589000000.0,-0.00010836124420166016,20,80,-0.004687192,-183773277.03078452,2049.0,0.0
163.64799904823303,8.508284,0.004735357,205299,9149068000000.0,-2.1576881408691406e-05,21,101,-0.0056382236,-164083141.38462594,2032.5,0.0
191.37552452087402,8.510761,0.005811531,246279,73582180000000.0,0.0,20,121,-0.005704132,-96525670.54654208,2032.5,0.0
218.79899263381958,8.514621,0.004953701,287259,24082523000000.0,-4.76837158203125e-07,20,141,-0.0056411456,-130643315.15558209,2032.5,0.0
245.8424355983734,8.507828,0.0049602934,329075,24247773000000.0,3.8743019104003906e-05,21,162,-0.0056594294,-139844933.05186597,2020.37,0.0
272.9285452365875,8.501879,0.0045637246,370055,1495797100000.0,6.854534149169922e-06,20,182,-0.0045930175,-151393174.14928696,2020.37,0.0
300.30918073654175,8.488369,0.0064632325,411035,40011626000000.0,3.3974647521972656e-06,20,202,-0.0054755127,-144417917.53489783,2036.87,0.0
327.52148818969727,8.480532,0.0051271236,452015,9517663000000.0,-0.0001537799835205078,20,222,-0.0046428465,-191898900.74628788,2036.87,0.0
355.3066475391388,8.475009,0.0059017097,492995,24782693000000.0,6.514787673950195e-05,20,242,-0.0053545255,-130128233.47754833,2036.87,0.0
382.43452525138855,8.45055,0.0049409373,533975,15404360000000.0,-2.1219253540039062e-05,20,262,-0.006162124,-126380359.24233572,2049.0,0.0
409.5723376274109,8.431185,0.006374918,574955,73118564000.0,2.384185791015625e-07,20,282,-0.0054960055,-124481636.95547113,2049.0,0.0
436.3003432750702,8.42535,0.0047161034,615935,488602860000.0,-0.0006562471389770508,20,302,-0.005602797,-115636547.24384746,2049.0,0.0
462.93060970306396,8.421114,0.005437379,658708,13509134000000.0,2.0325183868408203e-05,21,323,-0.0054216436,-66804617.961252086,2046.44,0.0
489.97664070129395,8.414503,0.006144533,699688,27178972000000.0,0.00027120113372802734,20,343,-0.0040985416,-83576148.20147225,2046.44,0.0
517.3612685203552,8.418552,0.0051123085,740668,54973150000000.0,4.172325134277344e-07,20,363,-0.005182898,-77181272.02040601,2046.44,0.0
543.9025449752808,8.411213,0.0062776594,781648,240258460000000.0,-1.1920928955078125e-07,20,383,-0.004753854,-153037404.2190292,2046.44,0.0
570.5236644744873,8.406406,0.0042058043,822628,125718500000000.0,-0.00017940998077392578,20,403,-0.0054003363,-338651983.0930647,2046.44,0.0
597.3679752349854,8.400785,0.0048744455,863608,79026700000000.0,-9.059906005859375e-06,20,423,-0.0057871803,-436389101.93652654,2049.0,0.0
623.8969669342041,8.397263,0.00493,904588,101350675000000.0,-2.0265579223632812e-06,20,443,-0.005744249,-519298598.0767758,2049.0,0.0
650.687787771225,8.388454,0.00468083,945568,92563530000000.0,1.1920928955078125e-07,20,463,-0.0050267735,-581944960.5586969,2049.0,0.0
677.1221017837524,8.38748,0.0043537384,986548,99452635000000.0,5.364418029785156e-07,20,483,-0.0048906943,-588201776.6845031,2049.0,0.0
704.2222130298615,8.379336,0.003987568,1027528,49157520000000.0,5.960464477539063e-08,20,503,-0.0054084845,-491808944.4118393,2049.0,0.0
730.8353908061981,8.381435,0.005186047,1068508,47205190000000.0,4.374980926513672e-05,20,523,-0.004831961,-449991852.14775896,2049.0,0.0
757.5654244422913,8.374437,0.0061669583,1109488,171827900000000.0,-1.1920928955078125e-07,20,543,-0.005468918,-386748802.90559334,2049.0,0.0
783.8537311553955,8.373791,0.005349296,1150468,257269780000000.0,-1.430511474609375e-06,20,563,-0.0060063936,-483918415.59614474,2049.0,0.0
811.2200331687927,8.375172,0.0042413003,1191448,88536305000000.0,-1.1920928955078125e-07,20,583,-0.00587055,-595243662.4816897,2049.0,0.0
837.8171560764313,8.382582,0.00502827,1232428,209679830000000.0,0.0,20,603,-0.0053677177,-612181727.0890824,2049.0,0.0
864.4137849807739,8.387241,0.0053435815,1273408,162740520000000.0,0.0,20,623,-0.004905225,-741178688.7485253,2049.0,0.0
890.661651134491,8.383162,0.0046624355,1314388,240346000000000.0,-1.1920928955078125e-07,20,643,-0.0054373783,-898495186.5800006,2049.0,0.0
917.537328004837,8.379702,0.004872423,1355368,307544900000000.0,0.0,20,663,-0.004131694,-929279129.4813647,2049.0,0.0
944.2863540649414,8.380772,0.004897711,1396348,188199020000000.0,0.0,20,683,-0.004952779,-966727060.720468,2049.0,0.0
970.8800292015076,8.388042,0.0064099906,1437328,103294945000000.0,0.0,20,703,-0.0055412846,-1057365451.5899632,2049.0,0.0
997.1646349430084,8.389971,0.004713805,1478308,113689034000000.0,5.960464477539063e-08,20,723,-0.005867324,-968698916.9577556,2049.0,0.0
1023.7782607078552,8.383038,0.00554699,1519288,223909360000000.0,0.0,20,743,-0.005041522,-897693271.7252138,2049.0,0.0
1050.8660924434662,8.385113,0.005372647,1560268,129464365000000.0,-2.384185791015625e-07,20,763,-0.0057534375,-874760948.0613698,2049.0,0.0
1077.1836805343628,8.374496,0.004396128,1601248,152179450000000.0,0.0,20,783,-0.005202014,-752056565.0808902,2049.0,0.0
1103.984501361847,8.370754,0.0054993117,1642228,151248750000000.0,0.0,20,803,-0.0065274,-703885358.0198784,2049.0,0.0
1130.4418580532074,8.380785,0.0047576353,1683208,133729580000000.0,0.0,20,823,-0.006056629,-743017885.8626381,2049.0,0.0
1156.8485746383667,8.384508,0.0048680515,1724188,203661230000000.0,0.0,20,843,-0.005270159,-773276662.5737187,2049.0,0.0
1183.8355844020844,8.386082,0.0055663795,1765168,218823420000000.0,0.0,20,863,-0.004607057,-785205090.1950635,2049.0,0.0
1210.7042644023895,8.389651,0.0046439143,1806148,139796330000000.0,-1.1920928955078125e-07,20,883,-0.0045710444,-845699574.02743,2049.0,0.0
1237.743124961853,8.3937645,0.0043924325,1847128,123898640000000.0,0.0,20,903,-0.0053139958,-835292825.0400019,2049.0,0.0
1264.1785049438477,8.385849,0.0049144803,1889348,103376210000000.0,0.0,21,924,-0.0060886173,-812286795.8305783,2040.91,0.0
1291.310879945755,8.382748,0.004458574,1930328,115375730000000.0,-2.384185791015625e-07,20,944,-0.0053556645,-762603962.2056383,2040.91,0.0
1318.1320369243622,8.379665,0.0049495674,1971308,132319460000000.0,0.0,20,964,-0.0057027293,-675589195.2873211,2040.91,0.0
1345.266968011856,8.381397,0.005220649,2012288,114347870000000.0,5.960464477539063e-08,20,984,-0.0055974135,-615248254.8252715,2040.91,0.0
1372.3676145076752,8.385725,0.0053427266,2053419,39980173000000.0,-1.1920928955078125e-07,21,1005,-0.0057779327,-550890569.3079318,2021.93,0.0
1399.3273162841797,8.388414,0.004932642,2094399,119247370000000.0,-1.1920928955078125e-07,20,1025,-0.0055131116,-474654869.0337996,2030.02,0.0
1426.7548644542694,8.386791,0.004413384,2135640,65926473000000.0,6.794929504394531e-06,21,1046,-0.0056625213,-498865083.70734113,2012.14,0.0
1453.6216259002686,8.382505,0.004724807,2176620,116311000000000.0,8.344650268554688e-07,20,1066,-0.0061158673,-454596250.49869084,2012.14,0.0
1481.0586659908295,8.371281,0.005238365,2217600,102578380000000.0,0.0,20,1086,-0.005220915,-419872540.9694219,2012.14,0.0
1507.9787874221802,8.369901,0.0056610294,2258879,147850630000000.0,0.0,21,1107,-0.005814969,-490381325.27547026,2013.62,0.0
1534.6432785987854,8.373186,0.004553654,2300374,156673330000000.0,0.0,21,1128,-0.0053089256,-578857713.5192777,1998.28,0.0
1561.06120967865,8.370608,0.0048396923,2341354,200495160000000.0,0.0,20,1148,-0.0055122734,-648254485.396375,2016.16,0.0
1588.0750370025635,8.368454,0.0064916834,2382334,130094160000000.0,0.0,20,1168,-0.0047967904,-730494151.6925648,2016.16,0.0
1615.2412180900574,8.3752575,0.004379781,2423314,107499390000000.0,-1.1920928955078125e-07,20,1188,-0.0052023055,-785570021.0336124,2016.16,0.0
1642.3929097652435,8.368938,0.004760842,2464294,92712180000000.0,-4.76837158203125e-07,20,1208,-0.005512441,-737131835.6429287,2033.66,0.0
1669.128513097763,8.365953,0.005953768,2505274,154990820000000.0,0.0,20,1228,-0.0063061863,-703652689.1001575,2049.0,0.0
1695.7651529312134,8.365202,0.0038883737,2547065,90557290000000.0,-2.384185791015625e-07,21,1249,-0.005592275,-677551423.1375589,2036.62,0.0
1722.8617060184479,8.356188,0.0053773904,2588045,43368010000000.0,0.0,20,1269,-0.0051449286,-604476511.4782931,2036.62,0.0
1749.537587404251,8.35022,0.006003822,2629025,100133820000000.0,-1.1920928955078125e-07,20,1289,-0.0046558077,-535546207.25934905,2036.62,0.0
1776.6801986694336,8.342726,0.0037123314,2671059,95256520000000.0,-1.1920928955078125e-07,21,1310,-0.0052611106,-537426781.5777243,2026.67,0.0
1803.931720495224,8.340868,0.00429134,2712039,169692870000000.0,0.0,20,1330,-0.004850655,-543261425.7134975,2026.67,0.0
1831.079227924347,8.336077,0.0050532436,2753019,119480980000000.0,0.0,20,1350,-0.0059043765,-567128381.0964303,2039.05,0.0
1858.1707417964935,8.33662,0.0049532102,2793999,157046150000000.0,5.960464477539063e-08,20,1370,-0.0047211396,-595649578.8666899,2039.05,0.0
1884.8976674079895,8.3371105,0.005421807,2834979,110099880000000.0,1.1920928955078125e-07,20,1390,-0.0055182055,-696383178.5174235,2039.05,0.0
1912.2709395885468,8.332918,0.004610549,2876344,121817755000000.0,-1.1920928955078125e-07,21,1411,-0.005557929,-729209532.2450688,2032.36,0.0
1939.3457963466644,8.33688,0.0044396073,2917324,92680520000000.0,-1.1920928955078125e-07,20,1431,-0.005423003,-740312129.6906818,2032.36,0.0
1966.0999119281769,8.336565,0.004783069,2958304,112054690000000.0,0.0,20,1451,-0.0057650926,-679866002.7513899,2032.36,0.0
1993.1834645271301,8.335133,0.004906079,2999284,126164664000000.0,-1.1920928955078125e-07,20,1471,-0.0063072206,-672471352.03228,2032.36,0.0
2020.8934528827667,8.332811,0.004269896,3040264,81175930000000.0,-1.1920928955078125e-07,20,1491,-0.0048500584,-638684624.6328062,2032.36,0.0
2048.157325744629,8.332853,0.0043509477,3081244,92730150000000.0,0.0,20,1511,-0.0047844886,-598752999.9243491,2049.0,0.0
2074.803018808365,8.327547,0.0054487316,3122224,109609920000000.0,0.0,20,1531,-0.0053313207,-590772179.4728787,2049.0,0.0
2101.7088754177094,8.306902,0.005945605,3163204,99408520000000.0,0.0,20,1551,-0.006176083,-609821583.6074721,2049.0,0.0
2128.6125938892365,8.302034,0.0045372397,3204184,105194070000000.0,5.960464477539063e-08,20,1571,-0.0050559146,-572160484.9576668,2049.0,0.0
2155.384398460388,8.303022,0.0047403844,3245164,91510490000000.0,-1.1920928955078125e-07,20,1591,-0.0048571946,-580179886.9000243,2049.0,0.0
2182.3648908138275,8.2879925,0.004672345,3286144,120698540000000.0,-1.1920928955078125e-07,20,1611,-0.0050621023,-591995672.6447003,2049.0,0.0
2209.7134397029877,8.273105,0.005025859,3327124,59310900000000.0,1.7881393432617188e-07,20,1631,-0.0061856844,-595950282.4062878,2049.0,0.0
2237.5407626628876,8.280834,0.004870902,3368104,129701330000000.0,-1.1920928955078125e-07,20,1651,-0.005136776,-552192875.7452357,2049.0,0.0
2264.4183320999146,8.2788105,0.0040420876,3409084,85126570000000.0,-1.1920928955078125e-07,20,1671,-0.005357177,-583128019.0817469,2049.0,0.0
2291.696317911148,8.277845,0.0053403126,3450064,96304870000000.0,0.0,20,1691,-0.006545586,-561348796.024485,2049.0,0.0
2318.5724182128906,8.277332,0.0047829165,3491044,89130140000000.0,0.0,20,1711,-0.005083678,-543633702.0630511,2049.0,0.0
2345.7864093780518,8.28055,0.0049514575,3532024,94063790000000.0,0.0,20,1731,-0.005895242,-513179005.2484897,2049.0,0.0
2372.8527681827545,8.271177,0.005144064,3573004,84497660000000.0,0.0,20,1751,-0.005922731,-530976340.437255,2049.0,0.0
2400.4522716999054,8.270016,0.004775267,3613984,96224950000000.0,0.0,20,1771,-0.0056386576,-497358651.01422125,2049.0,0.0
2427.5738620758057,8.269657,0.0048135463,3655074,119969860000000.0,5.960464477539063e-08,21,1792,-0.005190252,-494316251.5028344,2029.61,0.0
2455.1682460308075,8.265562,0.0044910656,3696054,116672800000000.0,0.0,20,1812,-0.0056168023,-520507185.24909,2029.61,0.0
