loss_pol_entpen,loss_kl,loss_pol_surr,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss,ev_tdlam_before,EpRewMean,EpisodesSoFar,loss_ent,EpLenMean
0.0,0.0049076458,-0.0042096428,0,0,33.34895968437195,64928900000000.0,8.344650268554688e-07,nan,0,8.519088,nan
0.0,0.004259951,-0.0040949676,25,51225,68.76469397544861,8927074000000.0,3.5762786865234375e-07,-344701397.99414,25,8.505848,2049.0
0.0,0.0047499198,-0.0045890347,25,102450,104.0826108455658,10660644000.0,-3.5762786865234375e-06,-209278445.98739612,50,8.501186,2049.0
0.0,0.005068545,-0.0045037125,25,153675,139.2894914150238,1768205700000.0,-7.152557373046875e-06,-141650063.9819889,75,8.4962,2049.0
0.0,0.0040887618,-0.0045647146,25,204900,174.46107840538025,276711080000.0,-4.887580871582031e-06,-113458913.56827593,100,8.486875,2049.0
0.0,0.004887443,-0.0053684623,25,256125,210.35298562049866,365585700000.0,9.59634780883789e-06,-30628744.778708197,125,8.477909,2049.0
0.0,0.0054953634,-0.004749841,25,307350,246.10562872886658,19226102000000.0,-2.7418136596679688e-06,-14781751.246107757,150,8.467747,2049.0
0.0,0.0047367965,-0.005163507,25,358575,281.59028363227844,11076854000.0,4.5418739318847656e-05,-45305019.038627565,175,8.468354,2049.0
0.0,0.004749383,-0.0047079534,26,409907,317.4227523803711,850411000000.0,-4.494190216064453e-05,-39329108.9584011,201,8.466735,2029.58
0.0,0.0050793253,-0.0053954925,25,461132,352.6621458530426,28067609000.0,0.00012862682342529297,-39890106.817817785,226,8.462154,2029.58
0.0,0.00470974,-0.0052838023,25,512357,387.9718997478485,191408260000.0,-5.638599395751953e-05,-38978633.863968074,251,8.456589,2029.58
0.0,0.0047192485,-0.004643445,26,565224,423.1731975078583,9152145000.0,-5.626678466796875e-05,-9273085.892883902,277,8.457915,2025.51
0.0,0.004494848,-0.004930528,25,616449,459.1049301624298,21973275000.0,4.410743713378906e-06,-9354533.350463277,302,8.435192,2044.93
0.0,0.0056737754,-0.0054937326,25,667674,494.2942249774933,48013435000.0,0.0007429718971252441,-7130269.131766626,327,8.428036,2044.93
0.0,0.0065462124,-0.0052257534,25,718899,529.8398170471191,5559372000.0,-3.5643577575683594e-05,-7211420.151884371,352,8.412749,2044.93
