EpLenMean,loss_pol_surr,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,loss_kl,EpThisIter,EpRewMean,loss_ent,TimestepsSoFar,loss_vf_loss,TimeElapsed
10001.0,-0.0040666806,280,-1.1920928955078125e-07,0.0,0.005078431,0,-1934693686.4299335,8.114777,2800280,88456300000000.0,2184.022370815277
10001.0,-0.0038813655,320,0.0,0.0,0.0051492117,40,-2112940475.1413932,8.111172,3200320,32472850000000.0,2239.591851234436
10001.0,-0.0034448453,320,0.0,0.0,0.0046309335,0,-2112940475.1413932,8.101652,3200320,108997185000000.0,2295.302381515503
10001.0,-0.0035614173,320,5.960464477539063e-08,0.0,0.004762994,0,-2112940475.1413932,8.083956,3200320,101520860000000.0,2353.017381668091
10001.0,-0.0034717978,320,0.0,0.0,0.005894483,0,-2112940475.1413932,8.077061,3200320,45679520000000.0,2409.376151561737
10001.0,-0.003993997,360,5.960464477539063e-08,0.0,0.004781221,40,-2561273923.8499966,8.062092,3600360,117593470000000.0,2466.0873675346375
10001.0,-0.0026562952,360,5.960464477539063e-08,0.0,0.004067562,0,-2561273923.8499966,8.049864,3600360,70779210000000.0,2521.826945066452
10001.0,-0.0032506615,360,1.7881393432617188e-07,0.0,0.004523719,0,-2561273923.8499966,8.034319,3600360,128062960000000.0,2578.2471697330475
10001.0,-0.0032634153,360,0.0,0.0,0.004799817,0,-2561273923.8499966,8.044176,3600360,131001280000000.0,2634.541308403015
10001.0,-0.0030932603,360,0.0,0.0,0.0052456036,0,-2561273923.8499966,8.04141,3600360,134141680000000.0,2691.1334912776947
10001.0,-0.0037834502,400,0.0,0.0,0.004703778,40,-3084610604.636691,8.032337,4000400,149599060000000.0,2747.377504348755
10001.0,-0.00321941,400,1.1920928955078125e-07,0.0,0.0043312935,0,-3084610604.636691,8.031603,4000400,94277230000000.0,2803.688494205475
10001.0,-0.0033073253,400,0.0,0.0,0.004038495,0,-3084610604.636691,8.020111,4000400,159313150000000.0,2860.3386867046356
10001.0,-0.002843167,400,5.960464477539063e-08,0.0,0.0045319386,0,-3084610604.636691,8.000822,4000400,188777590000000.0,2916.843285560608
10001.0,-0.0030641165,400,0.0,0.0,0.0041050804,0,-3084610604.636691,7.981551,4000400,132237860000000.0,2973.433895111084
10001.0,-0.0038263376,440,5.960464477539063e-08,0.0,0.0046266047,40,-3490514131.507208,7.9875517,4400440,96568430000000.0,3029.706880092621
10001.0,-0.0035198852,440,0.0,0.0,0.0038254305,0,-3490514131.507208,7.9771767,4400440,40226410000000.0,3085.8483538627625
10001.0,-0.0037650145,440,0.0,0.0,0.004824385,0,-3490514131.507208,7.9676657,4400440,108684400000000.0,3142.3323686122894
10001.0,-0.0032770396,440,1.1920928955078125e-07,0.0,0.0042344476,0,-3490514131.507208,7.9526663,4400440,118087440000000.0,3198.661481142044
10001.0,-0.0031799462,440,0.0,0.0,0.006099418,0,-3490514131.507208,7.9351187,4400440,99296060000000.0,3256.0865983963013
10001.0,-0.0038768717,480,0.0,0.0,0.0047833296,40,-3421015307.9037523,7.9306345,4800480,57630697000000.0,3312.4971737861633
10001.0,-0.0035398535,480,0.0,0.0,0.0048808446,0,-3421015307.9037523,7.928117,4800480,45284280000000.0,3368.4945521354675
10001.0,-0.0029098585,480,2.9206275939941406e-06,0.0,0.0042691818,0,-3421015307.9037523,7.9212465,4800480,71070690000000.0,3425.1188027858734
10001.0,-0.0036147074,480,-1.1920928955078125e-07,0.0,0.0051863045,0,-3421015307.9037523,7.9049215,4800480,103355180000000.0,3481.4291203022003
10001.0,-0.0036751963,480,5.960464477539063e-08,0.0,0.0062159067,0,-3421015307.9037523,7.8881073,4800480,70147410000000.0,3538.243157863617
10001.0,-0.0046523577,520,-1.1920928955078125e-07,0.0,0.0043582376,40,-2892030001.7547994,7.8793173,5200520,81529830000000.0,3594.5490798950195
10001.0,-0.0036103353,520,0.0,0.0,0.0057032583,0,-2892030001.7547994,7.866104,5200520,94958420000000.0,3650.2199132442474
10001.0,-0.0041370452,520,1.1920928955078125e-07,0.0,0.004769114,0,-2892030001.7547994,7.850663,5200520,118949500000000.0,3707.3939096927643
10001.0,-0.0032132932,520,-1.1920928955078125e-07,0.0,0.0049819853,0,-2892030001.7547994,7.840274,5200520,103941100000000.0,3764.310558319092
10001.0,-0.0034840168,520,0.0,0.0,0.0047048065,0,-2892030001.7547994,7.825863,5200520,129118640000000.0,3822.0569398403168
10001.0,-0.0046527935,560,5.960464477539063e-08,0.0,0.0044407435,40,-2618723717.7862263,7.822236,5600560,56289548000000.0,3880.2335226535797
10001.0,-0.0034259476,560,0.0,0.0,0.0040334254,0,-2618723717.7862263,7.8095694,5600560,109475280000000.0,3939.242402791977
10001.0,-0.0037040622,560,-1.1920928955078125e-07,0.0,0.0050714044,0,-2618723717.7862263,7.799775,5600560,114951540000000.0,3995.796982049942
10001.0,-0.0040341346,560,0.0,0.0,0.0047330344,0,-2618723717.7862263,7.78592,5600560,121522425000000.0,4052.1492698192596
10001.0,-0.004012593,560,0.0,0.0,0.004814046,0,-2618723717.7862263,7.762147,5600560,149865330000000.0,4108.591125249863
10001.0,-0.004362244,600,0.0,0.0,0.004510225,40,-3014032104.364872,7.7586784,6000600,71063180000000.0,4164.966163396835
10001.0,-0.003955098,600,5.960464477539063e-08,0.0,0.0043694777,0,-3014032104.364872,7.7460012,6000600,115220100000000.0,4221.4917097091675
10001.0,-0.0041068327,600,0.0,0.0,0.0045769415,0,-3014032104.364872,7.7426615,6000600,128276060000000.0,4278.222106695175
10001.0,-0.0034459834,600,0.0,0.0,0.00436934,0,-3014032104.364872,7.735198,6000600,111147470000000.0,4334.932339429855
10001.0,-0.0034413561,600,1.1920928955078125e-07,0.0,0.0055595776,0,-3014032104.364872,7.7139244,6000600,204741730000000.0,4391.524641275406
10001.0,-0.00471861,640,0.0,0.0,0.0046473145,40,-3354646477.251945,7.7037163,6400640,25675820000000.0,4448.186326742172
10001.0,-0.0035086568,640,1.1920928955078125e-07,0.0,0.0044492153,0,-3354646477.251945,7.6923227,6400640,86146890000000.0,4505.584599733353
10001.0,-0.0035987399,640,7.152557373046875e-07,0.0,0.004619553,0,-3354646477.251945,7.6775246,6400640,91168720000000.0,4562.799311161041
10001.0,-0.003720445,640,0.0,0.0,0.004753078,0,-3354646477.251945,7.668811,6400640,89812660000000.0,4620.940580129623
10001.0,-0.003393016,640,1.7881393432617188e-06,0.0,0.006055528,0,-3354646477.251945,7.6553307,6400640,148254300000000.0,4677.95347237587
10001.0,-0.0043891324,680,0.0,0.0,0.0041487343,40,-3175264603.134703,7.6526375,6800680,23382817000000.0,4734.870193481445
10001.0,-0.0035641033,680,-1.1920928955078125e-07,0.0,0.0048441947,0,-3175264603.134703,7.6563425,6800680,88374350000000.0,4792.638504743576
10001.0,-0.003529682,680,1.7881393432617188e-06,0.0,0.0053052506,0,-3175264603.134703,7.656643,6800680,120836470000000.0,4849.542272567749
10001.0,-0.0031150216,680,2.205371856689453e-06,0.0,0.0050059324,0,-3175264603.134703,7.6583853,6800680,141688820000000.0,4906.308248996735
10001.0,-0.0047171414,720,0.0,0.0,0.00528263,40,-3160216340.7301116,7.650649,7200720,144265640000000.0,4963.669153690338
10001.0,-0.004208126,720,-3.5762786865234375e-07,0.0,0.0046864883,0,-3160216340.7301116,7.642582,7200720,45862063000000.0,5020.74106669426
10001.0,-0.003977977,720,0.0,0.0,0.0044179833,0,-3160216340.7301116,7.6336374,7200720,126386780000000.0,5077.454559803009
10001.0,-0.0036402717,720,-1.1920928955078125e-07,0.0,0.0047679553,0,-3160216340.7301116,7.6283445,7200720,153446730000000.0,5134.225386857986
10001.0,-0.003876178,720,5.960464477539063e-08,0.0,0.0052107046,0,-3160216340.7301116,7.611253,7200720,180639300000000.0,5193.361160039902
10001.0,-0.00461154,760,0.0,0.0,0.0048523927,40,-3469790178.7133417,7.601368,7600760,182232540000000.0,5249.923611402512
10001.0,-0.004295538,760,0.0,0.0,0.0045114844,0,-3469790178.7133417,7.592803,7600760,132544570000000.0,5306.69836640358
10001.0,-0.0037209638,760,-1.1920928955078125e-07,0.0,0.004670673,0,-3469790178.7133417,7.584611,7600760,148212710000000.0,5364.596767902374
10001.0,-0.0035518222,760,0.0,0.0,0.005225795,0,-3469790178.7133417,7.56802,7600760,165531760000000.0,5421.849727392197
10001.0,-0.0025517994,760,0.0,0.0,0.0060292007,0,-3469790178.7133417,7.555707,7600760,172111370000000.0,5478.775861263275
10001.0,-0.0050559854,800,0.0,0.0,0.004924321,40,-3976017818.472316,7.54251,8000800,115785850000000.0,5535.741320133209
10001.0,-0.0037908964,800,0.0,0.0,0.0043587848,0,-3976017818.472316,7.5315714,8000800,71827910000000.0,5593.413505554199
10001.0,-0.0035076507,800,0.0,0.0,0.005349091,0,-3976017818.472316,7.51947,8000800,97819340000000.0,5650.575130939484
10001.0,-0.0039392794,800,0.0,0.0,0.0045144693,0,-3976017818.472316,7.5086937,8000800,108999650000000.0,5708.699706554413
10001.0,-0.0029386391,800,1.4901161193847656e-06,0.0,0.0061568758,0,-3976017818.472316,7.486966,8000800,116991150000000.0,5766.69660449028
10001.0,-0.0046888376,840,0.0,0.0,0.0061478666,40,-3616327366.876193,7.482044,8400840,64073150000000.0,5823.679191112518
10001.0,-0.0038068544,840,0.0,0.0,0.004321005,0,-3616327366.876193,7.4775667,8400840,106946925000000.0,5880.154874801636
10001.0,-0.0034493837,840,-1.1920928955078125e-07,0.0,0.004826103,0,-3616327366.876193,7.47783,8400840,149346580000000.0,5937.080420017242
10001.0,-0.0034872734,840,5.960464477539063e-08,0.0,0.004623928,0,-3616327366.876193,7.4649935,8400840,71961355000000.0,5993.4220724105835
10001.0,-0.003683831,840,5.960464477539063e-08,0.0,0.0053284997,0,-3616327366.876193,7.4432077,8400840,157091350000000.0,6051.421399831772
10001.0,-0.005088684,880,1.1920928955078125e-07,0.0,0.0044163098,40,-3357141401.1218376,7.441695,8800880,90950730000000.0,6108.762348651886
10001.0,-0.0041848887,880,0.0,0.0,0.004561188,0,-3357141401.1218376,7.423814,8800880,114900590000000.0,6165.619561433792
10001.0,-0.004202069,880,0.0,0.0,0.0045331367,0,-3357141401.1218376,7.412673,8800880,139463520000000.0,6223.131707191467
10001.0,-0.0045466963,880,0.0,0.0,0.0045062983,0,-3357141401.1218376,7.401305,8800880,168667910000000.0,6279.925496578217
10001.0,-0.0044546267,880,0.0,0.0,0.005205769,0,-3357141401.1218376,7.394367,8800880,148429120000000.0,6336.942696094513
10001.0,-0.0042644884,920,-1.1920928955078125e-07,0.0,0.0045402003,40,-3399243764.663756,7.3937693,9200920,53281116000000.0,6394.129537343979
10001.0,-0.0034049693,920,-1.1920928955078125e-07,0.0,0.0039225398,0,-3399243764.663756,7.3862495,9200920,94836900000000.0,6451.015333652496
10001.0,-0.004432945,920,-1.1920928955078125e-07,0.0,0.005060664,0,-3399243764.663756,7.3745766,9200920,132712585000000.0,6509.258100986481
10001.0,-0.004040251,920,-1.1920928955078125e-07,0.0,0.005266709,0,-3399243764.663756,7.365052,9200920,75031610000000.0,6566.098948478699
10001.0,-0.0036268556,920,-1.1920928955078125e-07,0.0,0.005498304,0,-3399243764.663756,7.3392763,9200920,118486810000000.0,6623.702432155609
10001.0,-0.0055339537,960,0.0,0.0,0.004947168,40,-3299301962.2542543,7.327468,9600960,42375100000000.0,6681.292662382126
10001.0,-0.004233367,960,0.0,0.0,0.005413757,0,-3299301962.2542543,7.3043556,9600960,124171560000000.0,6738.058534860611
10001.0,-0.0041507073,960,-2.384185791015625e-07,0.0,0.0046993075,0,-3299301962.2542543,7.293331,9600960,103296790000000.0,6796.4482588768005
10001.0,-0.0018689765,960,-1.1920928955078125e-07,0.0,0.00823498,0,-3299301962.2542543,7.2864943,9600960,132631540000000.0,6854.216486215591
10001.0,-0.0032343797,960,0.0,0.0,0.0044449293,0,-3299301962.2542543,7.2730417,9600960,146128910000000.0,6912.3549745082855
10001.0,-0.0048489533,1000,0.0,0.0,0.0045354404,40,-3170562942.8875556,7.2700834,10001000,24639779000000.0,6970.279202222824
10001.0,-0.0050742514,1000,5.960464477539063e-08,0.0,0.0049872687,0,-3170562942.8875556,7.261014,10001000,72470050000000.0,7026.913414478302
10001.0,-0.0044082524,1000,0.0,0.0,0.0049671954,0,-3170562942.8875556,7.247471,10001000,94152010000000.0,7083.949995040894
10001.0,-0.0038106875,1000,0.0,0.0,0.005302028,0,-3170562942.8875556,7.2265806,10001000,165080400000000.0,7142.087029695511
10001.0,-0.0040941043,1040,0.0,0.0,0.005752159,40,-3252455351.192426,7.217923,10401040,167050640000000.0,7200.011888504028
10001.0,-0.004424669,1040,0.0,0.0,0.0056133196,0,-3252455351.192426,7.21056,10401040,36330482000000.0,7257.1946930885315
10001.0,-0.0039371285,1040,-1.1920928955078125e-07,0.0,0.0058781747,0,-3252455351.192426,7.201947,10401040,126223695000000.0,7314.548340797424
10001.0,-0.0041466267,1040,0.0,0.0,0.004275655,0,-3252455351.192426,7.190995,10401040,93675640000000.0,7371.505599021912
10001.0,-0.0040025325,1040,-1.1920928955078125e-07,0.0,0.004911157,0,-3252455351.192426,7.1818247,10401040,117589140000000.0,7429.465763807297
10001.0,-0.0044133007,1080,0.0,0.0,0.005262014,40,-3261845004.31691,7.1722097,10801080,132355480000000.0,7486.630614757538
10001.0,-0.004606619,1080,5.960464477539063e-08,0.0,0.0051831296,0,-3261845004.31691,7.173232,10801080,35093460000000.0,7545.466553926468
10001.0,-0.0047936607,1080,0.0,0.0,0.005853893,0,-3261845004.31691,7.1576195,10801080,108167410000000.0,7604.829570531845
10001.0,-0.0048028925,1080,1.1920928955078125e-07,0.0,0.0052068857,0,-3261845004.31691,7.1477976,10801080,151026850000000.0,7663.830328702927
10001.0,-0.00416462,1080,0.0,0.0,0.0059724404,0,-3261845004.31691,7.132783,10801080,142577510000000.0,7721.646499633789
10001.0,-0.0043757823,1120,0.0,0.0,0.004837252,40,-3155873509.848986,7.1223764,11201120,88371435000000.0,7779.565897703171
10001.0,-0.0042226813,1120,0.0,0.0,0.0047440627,0,-3155873509.848986,7.124465,11201120,23977045000000.0,7837.174889087677
